Job Position,Office,City,Country,Salary,Work Time,Job Level,Job Level Specific,Job_Category,Industry,Qualification 1,Qualification 2,Qualification 3,Qualification 4,Qualification 5,
Supervisor Development Program,Satu Group,Jakarta Utara,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",IT and Software,Creatives,Maximum age 30 years,Minimum education: S1 in any major,"Have good communication, analytical and interpersonal skills",Able to drive a motorized vehicle and have a SIM C,Have a sense of business,
Supervisor Logistic,PT Palunesia Makmur (San Lim Furniture),Surabaya,Indonesia,"IDR 4,500,000.00 - IDR 8,000,000.00 / month",Full Time,Associate,Supervisor,Supply Chain and Logistics,Warehousing,Bachelor / Degree,At least 5 years Experience in same position,Able to Operate ERP System (SAP),Have good communication skill and able to work individual and team,"Highly motivated, energetic, good pleasant personality",
Supply Chain Intern (Clean Energy),Vflowtech,Singapore,Singapore,"IDR 11,588,030.00",Full Time,Internship,OJT,Supply Chain and Logistics,Battery Factory,"Currently enrolled in bachelor’s in mechanical/electrical/chemical Engineeringing, Business, Accounts.",Excellent communication and problem-solving skills,Should be self-starters and be able to work with minimal direction,,,
Supply Chain Supervisor,The Purple Oven Corporation,Quezon,Philippines,Salary Undisclosed,Full Time,Associate,Supervisor,Manufacturing and Production,Food Production,Are analytic and results-driven,Are organized and detail-oriented,Sees the bigger picture in setting clear goals,"Is effective in communicating with all levels, within and across different departments",Can see things through to uplift quality of work and people,
Supply Planner Staff,Hangry,Jakarta Barat,Indonesia,Salary Undisclosed,Full Time,Associate,Supervisor,Supply Chain and Logistics,Food / Beverages,Have experience handling warehouses.,Experience in FandB or Startup Company,Excellent knowledge of supply chain processes,"Creative problem-solving, a strategic and critical thinker",Good time-management skills,
Surveyor - Buleleng,PT BFI Finance Indonesia Tbk,Buleleng,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Administration,Financial Services,Education Min. D3 All Majors,Good communication skills,Attractive,Have a Private Vehicle,Have a private vehicle and an active SIM C,
Surveyor - Denpasar,PT BFI Finance Indonesia Tbk,Denpansar,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Administration,Financial Services,Education Min. D3 All Majors,Good communication skills,Attractive,Have a Private Vehicle,Have a private vehicle and an active SIM C,
Surveyor - Tabanan,PT BFI Finance Indonesia Tbk,Tabanan,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Administration,Financial Services,Education Min. D3 All Majors,Good communication skills,Attractive,Have a Private Vehicle,Have a private vehicle and an active SIM C,
Surveyor Pembiayaaan BPKB Mobil Cabang Sunter,PT BFI Finance Indonesia Tbk,Tangerang,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Financial Services,Financial Services,Education Min. D3 All Majors,Good communication skills,Attractive,Have a Private Vehicle,Have a private vehicle and an active SIM C
System Administrator,PT Astra Graphia Information Technology,Jakarta Utara,Indonesia,Salary Undisclosed,Contractual,Entry Level,"Junior, Apprentice",IT and Software,Information Technology / IT,Education: Bachelor Degree,Good analytical Skill,Communication Skill : Able to communicate in good manner with user.,Language Skill : Indonesia and English,"Preq. Knowledge: UNIX/Linux OS, Monitoring tools",
System Programmer,PT. Adicipta Inovasi Teknologi (Adins),Jakarta Barat,Indonesia,Salary Undisclosed,Full Time,Associate,Supervisor,IT and Software,Information Technology / IT,Candidate must possess at Bachelor's Degree in Computer Science/Information Technology,Confident and Proficient in at least one of programming language like C# and Asp.Net / Java (J2ME) / Swift,Deep understanding in at least one of framework conceptual,"Adequate knowledge of relational database systems, Object Oriented Programming and web application development",Proficient in SQL Server and design/architectural patterns,
Talent Acquisition Specialist,Trends Group Inc.,Makati,Philippines,"IDR 13,262,960.00 - IDR 16,578,700.00",Full Time,Associate,Supervisor,Human Resources,Information Technology / IT,Requires strong oral and written communication skills,Bachelor’s Degree / College Degree or Relevant experience,At least 3 year(s) of working experience in Talent Acquisition preferably with interviewing experience,Experience in headhunting and technical recruitment is required,Good communication and presentation skills,
Talent Acquisition Specialist,Dreamtech Technologies Sdn Bhd,Kuala Lumpur,Malaysia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Human Resources,Program Development,"Fluent in both Chinese and English, able to communicate without barriers",Familiar with at least three to five recruitment channels and platforms in line with the local market,"College degree or above in human resources, labor economics, psychology, management and other related majors","Integrity, loyalty and trustworthiness, rigorous work, good language and writing skills","Strong sense of responsibility and dedication, good professionalism, able to withstand certain work pressure",
Tax Reporting and Compliance,PT Bank BTPN Tbk,Jakarta Selatan,Indonesia,Salary Undisclosed,Full Time,Associate,Supervisor,IT and Software,Banking / Mortgage,"Minimum education: S1, preferably majoring in Economics/Accounting/Tax",Minimum 5 years experience in banking (Business/Accounting) or as an Advisor at the Tax Office for 4 years.,"Have an understanding of tax laws and regulations, and bank operations",,,
Tax Supervisor,Grand Lucky Superstore,Jakarta Utara,Indonesia,Salary Undisclosed,Full Time,Associate,Supervisor,Accounting and Finance,Financial Services,Have experience at least 3 years in taxation;,Holding Brevet A and B certification;,Strong analytical and planning skills;,Good communication and interpersonal skills;,Persistent and detail oriented;,
"Tax, Accounting and Finance Internship",PT. Astra Welab Digital Arta,Jakarta Selatan,Indonesia,Salary Undisclosed,Full Time,Internship,OJT,Accounting and Finance,Information Technology / IT,Age range 20-22 years,Male and female gender,Coming from an Accounting or Management major or program,Minimum work experience is 0-1 year,Marital status is unmarried or single,
Team lead Customer Service – Japanese,Growthfn,Kuala Lumpur,Malaysia,"IDR 39,788,880.00",Full Time,Entry Level,"Junior, Apprentice",Customer Service,Human Resources,"Fluency in English (Speaking, listening, writing and reading). Working 100% English.",University/Colleges required.,,Experience in a high-growth organization strongly preferred.,,
Team Leader,PT. Berca Kawan Sejati,Surabaya,Indonesia,Salary Undisclosed,Full Time,Mid-Senior Level,Manager,Services Industry,Cigarette Distributor,Maximum age 35 years,Minimum S1 education in all majors,Experienced in product sales,Firm and able to lead a team,Able to make sales forecasting,
Team Leader Personal Loan Sidoarjo,PT Padma Raharja Sentosa Jawa Timur,Surabaya,Indonesia,Salary Undisclosed,Full Time,Mid-Senior Level,Manager,Business Development and Sales,Outsourcing/Offshoring,Age 20-45 years,Minimum high school education,Experienced as a Team Leader,Clear BI Checking,Have good communication and behavior skills,
Team Leader Personal Loan Surabaya,PT Padma Raharja Sentosa Jawa Timur,Surabaya,Indonesia,Salary Undisclosed,Full Time,Mid-Senior Level,Manager,Business Development and Sales,Outsourcing/Offshoring,Age 20-45 years,Minimum high school education,Experienced as a Team Leader,Clear BI Checking,Have good communication and behavior skills,
Tech Governance Specialist,PT. Astra Welab Digital Arta,Jakarta Selatan,Indonesia,Salary Undisclosed,Full Time,Associate,Supervisor,Engineering,Information Technology / IT,"S1 graduate majoring in Computer Science, Information Engineeringing, Information Systems.",Min. 3 years of experience in banking/IT Security Governance/IT Security Risk/other related fields.,Fluent in English and Indonesian.,Strong and in-depth security analytical thinking especially in information security risk management.,"Understand the concepts of operating systems, active directory, hardware, software, and network technology.",
Tech Lead | South East Asia,Wistkey Technologies Limited,Jakarta Pusat,Indonesia,"IDR 6,176,480.93 - IDR 23,158,053.49",Full Time (Remote),Mid-Senior Level,Manager,IT and Software,Information Technology / IT,Passion for technology is a must;,At least 3 year of working experience as a software developer;,Conversational English is a must;,Strong analytical and planning skills;,Excellent problem-solving skills;,
Tech Security Operation Blue Team,PT BFI Finance Indonesia Tbk,Tangerang,Indonesia,Salary Undisclosed,Full Time,Associate,Supervisor,IT and Software,Financial Services,At least 2 years of experience as a cybersecurity field,Strong analytical skills with the ability to generate insight from statistics and to make strong assumptions based on gathered information.,Experience with threat hunting/detection and incident response.,Able to work with Windows and Linux/UNIX environments.,Proficient in scripting like Powershell or Python.,
Technical Business Analyst,"PT Bank OCBC NISP, Tbk",Tangerang,Indonesia,Salary Undisclosed,Full Time,Mid-Senior Level,Manager,IT and Software,Banking,Bachelor’s degree S1 in any major but preferably in IT / Computer major,Minimum 3 years in Banking industry as IT Business Analyst or Project Manager.,Familiar with Banking product business process,Having good analytical skill in customers demand and resolution workaround.,Placement Location : BSD City Area,
